person_name,person_birthdate,person_deathdate,person_country,person_geo,person_period,person_tags,event_date,person_age_days,age_years,age_months,age_days_rem,age_label,description_fr,category,subcategory,importance,wikipedia_slug
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1764-04-01,2988,8,2,5,"8 ans, 2 mois et 5 jours",Compose sa première symphonie à Londres à 8 ans,arts,creation,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1770-07-08,5277,14,5,11,"14 ans, 5 mois et 11 jours",Reçoit l'Ordre de l'Éperon d'or du pape à Rome,arts,distinction,4,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1776-01-01,7279,19,11,5,"19 ans, 11 mois et 5 jours",Compose le Concerto pour piano n°9 — premier chef-d'oeuvre mature,arts,creation,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1781-06-09,9266,25,4,13,"25 ans, 4 mois et 13 jours",Rompt avec l'archevêque de Salzbourg — s'installe à Vienne libre,arts,rupture,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1786-05-01,11053,30,3,4,"30 ans, 3 mois et 4 jours",Crée Les Noces de Figaro à Vienne — chef-d'oeuvre de l'opéra bouffe,arts,creation,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1791-12-05,13097,35,10,9,"35 ans, 10 mois et 9 jours",Meurt à Vienne à 35 ans en laissant son Requiem inachevé,arts,mort,5,Wolfgang_Amadeus_Mozart
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1793-12-19,8892,24,4,4,"24 ans, 4 mois et 4 jours",Libère Toulon des Anglais à 24 ans — révélation militaire,guerre,bataille,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1796-03-27,9721,26,7,11,"26 ans, 7 mois et 11 jours",Prend le commandement de l'armée d'Italie — campagne foudroyante,guerre,commandement,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1798-07-21,10567,28,11,5,"28 ans, 11 mois et 5 jours",Victoire des Pyramides en Égypte — expédition orientale,guerre,bataille,4,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1800-06-14,11261,30,9,30,"30 ans, 9 mois et 30 jours",Victoire de Marengo — reconquête de l'Italie,guerre,bataille,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1804-12-02,12893,35,3,18,"35 ans, 3 mois et 18 jours",Se fait sacrer Empereur à Notre-Dame de Paris,pouvoir,couronnement,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1805-12-02,13258,36,3,17,"36 ans, 3 mois et 17 jours",Austerlitz — sa plus grande victoire militaire,guerre,bataille,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1812-06-24,15654,42,10,9,"42 ans, 10 mois et 9 jours",Lance l'invasion de la Russie avec 600 000 hommes,guerre,invasion,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1815-06-18,16743,45,10,2,"45 ans, 10 mois et 2 jours",Défaite à Waterloo — fin de l'Empire,guerre,bataille,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1821-05-05,18891,51,8,20,"51 ans, 8 mois et 20 jours",Meurt à Sainte-Hélène à 51 ans — ultime exil,pouvoir,mort,5,Napoléon_Ier
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1900-10-01,9437,25,10,1,"25 ans, 10 mois et 1 jour",Élu député pour la première fois à Oldham,pouvoir,election,3,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1911-10-23,13476,36,10,22,"36 ans, 10 mois et 22 jours",Nommé Premier Lord de l'Amirauté — prépare la Navy,pouvoir,nomination,4,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1940-05-13,23906,65,5,12,"65 ans, 5 mois et 12 jours",Discours Blood toil tears and sweat — entre en guerre,pouvoir,discours,5,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1941-08-14,24364,66,8,14,"66 ans, 8 mois et 14 jours",Signe la Charte de l'Atlantique avec Roosevelt,pouvoir,diplomatie,5,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1945-05-08,25727,70,5,7,"70 ans, 5 mois et 7 jours",Annonce la victoire des Alliés en Europe,pouvoir,victoire,5,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1946-03-05,26028,71,3,4,"71 ans, 3 mois et 4 jours",Prononce le discours du Rideau de fer à Fulton,pouvoir,discours,5,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1953-12-10,28865,79,,11,"79 ans, 0 mois et 11 jours",Reçoit le Nobel de Littérature pour ses mémoires,arts,prix,4,Winston_Churchill
Winston Churchill,1874-11-30,1965-01-24,GB,histoire-europe,xxe,"politique,guerre-militaire",1965-01-24,32926,90,1,23,"90 ans, 1 mois et 23 jours",Meurt à Londres à 90 ans — funérailles nationales,pouvoir,mort,5,Winston_Churchill
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1934-05-01,15866,43,5,8,"43 ans, 5 mois et 8 jours",Publie Vers l'armée de métier — visionnaire ignoré,pouvoir,publication,4,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1940-06-18,18106,49,6,26,"49 ans, 6 mois et 26 jours",Appel du 18 juin — naissance de la Résistance,pouvoir,discours,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1944-06-06,19555,53,6,14,"53 ans, 6 mois et 14 jours",Supervise le débarquement depuis Londres,guerre,operation,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1944-08-26,19636,53,9,4,"53 ans, 9 mois et 4 jours",Défile sur les Champs-Élysées après la Libération,pouvoir,liberation,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1958-06-01,24663,67,6,9,"67 ans, 6 mois et 9 jours",Revient au pouvoir — fin de la IVe République,pouvoir,retour,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1958-10-04,24788,67,10,12,"67 ans, 10 mois et 12 jours",Promulgue la Constitution de la Ve République,pouvoir,constitution,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1962-10-28,26273,71,11,6,"71 ans, 11 mois et 6 jours",Fait adopter l'élection du président au suffrage universel,pouvoir,reforme,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1969-04-28,28647,78,5,5,"78 ans, 5 mois et 5 jours",Démissionne après l'échec du référendum,pouvoir,demission,5,Charles_de_Gaulle
Charles de Gaulle,1890-11-22,1970-11-09,FR,histoire-france,xxe,"politique,guerre-militaire",1970-11-09,29207,79,11,18,"79 ans, 11 mois et 18 jours",Meurt à Colombey-les-Deux-Églises à 79 ans,pouvoir,mort,5,Charles_de_Gaulle
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1902-06-16,8495,23,3,3,"23 ans, 3 mois et 3 jours",Employé à l'office des brevets de Berne — l'année des miracles commence,science,debut,3,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1905-03-17,9500,26,,4,"26 ans, 0 mois et 4 jours",Publie la théorie de l'effet photoélectrique,science,publication,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1905-06-30,9605,26,3,17,"26 ans, 3 mois et 17 jours",Publie la relativité restreinte — E=mc²,science,publication,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1915-11-25,13405,36,8,12,"36 ans, 8 mois et 12 jours",Présente la relativité générale à l'Académie prussienne,science,publication,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1919-11-07,14848,40,7,24,"40 ans, 7 mois et 24 jours",Éclipse solaire confirme sa théorie — célébrité mondiale,science,confirmation,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1921-12-10,15612,42,8,28,"42 ans, 8 mois et 28 jours",Reçoit le Prix Nobel de Physique,science,prix,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1933-03-30,19740,54,,17,"54 ans, 0 mois et 17 jours",Quitte l'Allemagne nazie — ne reviendra jamais,science,exil,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1939-08-02,22056,60,4,19,"60 ans, 4 mois et 19 jours",Signe la lettre à Roosevelt alertant sur la bombe atomique,science,lettre,5,Albert_Einstein
Albert Einstein,1879-03-14,1955-04-18,DE,histoire-europe,xxe,science-medecine,1955-04-18,27794,76,1,4,"76 ans, 1 mois et 4 jours",Meurt à Princeton à 76 ans,science,mort,5,Albert_Einstein
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1919-09-12,11102,30,4,23,"30 ans, 4 mois et 23 jours",Rejoint le Parti des travailleurs allemands à Munich,pouvoir,debut,4,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1923-11-08,12620,34,6,19,"34 ans, 6 mois et 19 jours",Putsch de la Brasserie à Munich — emprisonné,pouvoir,coup,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1925-07-18,13238,36,2,28,"36 ans, 2 mois et 28 jours",Publie Mein Kampf depuis sa prison,pouvoir,publication,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1933-01-30,15989,43,9,10,"43 ans, 9 mois et 10 jours",Nommé chancelier d'Allemagne par Hindenburg,pouvoir,nomination,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1938-03-12,17858,48,10,21,"48 ans, 10 mois et 21 jours",Anschluss — annexion de l'Autriche,pouvoir,annexion,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1939-09-01,18396,50,4,12,"50 ans, 4 mois et 12 jours",Lance l'invasion de la Pologne — début de la guerre,guerre,invasion,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1941-06-22,19056,52,2,2,"52 ans, 2 mois et 2 jours",Lance l'opération Barbarossa contre l'URSS,guerre,invasion,5,Adolf_Hitler
Adolf Hitler,1889-04-20,1945-04-30,AT,histoire-europe,xxe,politique,1945-04-30,20464,56,,10,"56 ans, 0 mois et 10 jours",Se suicide dans son bunker à Berlin à 56 ans,pouvoir,mort,5,Adolf_Hitler
