person_name,person_birthdate,person_deathdate,person_country,person_geo,person_period,person_tags,event_date,person_age_days,age_years,age_months,age_days_rem,age_label,description_fr,category,subcategory,importance,wikipedia_slug
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1643-05-14,1712,4,8,7,"4 ans, 8 mois et 7 jours",Devient roi de France à 4 ans à la mort de Louis XIII,pouvoir,couronnement,5,Louis_XIV
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1661-03-09,8221,22,6,3,"22 ans, 6 mois et 3 jours",Prend le pouvoir seul après la mort de Mazarin — L'État c'est moi,pouvoir,prise-de-pouvoir,5,Louis_XIV
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1682-05-06,15949,43,8,,"43 ans, 8 mois et 0 jour",S'installe à Versailles avec toute la cour royale,pouvoir,installation,5,Louis_XIV
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1685-10-18,17210,47,1,13,"47 ans, 1 mois et 13 jours",Révoque l'Édit de Nantes — 200 000 protestants fuient la France,pouvoir,loi,5,Louis_XIV
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1701-11-01,23068,63,1,27,"63 ans, 1 mois et 27 jours",Son petit-fils Philippe V monte sur le trône d'Espagne,pouvoir,diplomatie,4,Louis_XIV
Louis XIV,1638-09-05,1715-09-01,FR,histoire-france,xviie-xviiie,politique,1715-09-01,28120,76,11,26,"76 ans, 11 mois et 26 jours",Meurt à Versailles à 76 ans après 72 ans de règne,pouvoir,mort,5,Louis_XIV
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1837-06-20,6602,18,,28,"18 ans, 0 mois et 28 jours",Monte sur le trône à 18 ans — règne de 63 ans commence,pouvoir,couronnement,5,Victoria_(reine)
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1840-02-10,7565,20,8,16,"20 ans, 8 mois et 16 jours",Épouse le prince Albert — mariage d'amour et politique,pouvoir,mariage,4,Victoria_(reine)
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1861-12-14,15545,42,6,22,"42 ans, 6 mois et 22 jours",Mort d'Albert — porte le deuil jusqu'à sa mort,pouvoir,deuil,4,Victoria_(reine)
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1876-01-01,20675,56,7,7,"56 ans, 7 mois et 7 jours",Proclamée Impératrice des Indes par Disraeli,pouvoir,titre,5,Victoria_(reine)
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1887-06-21,24865,68,,28,"68 ans, 0 mois et 28 jours",Jubilé d'or — 50 ans de règne célébrés dans tout l'Empire,pouvoir,jubile,4,Victoria_(reine)
Reine Victoria,1819-05-24,1901-01-22,GB,histoire-europe,xixe,politique,1901-01-22,29827,81,7,28,"81 ans, 7 mois et 28 jours",Meurt à Osborne House à 81 ans — fin de l'ère victorienne,pouvoir,mort,5,Victoria_(reine)
Louis XV,1710-02-15,1774-05-10,FR,histoire-france,xviie-xviiie,politique,1715-09-01,2027,5,6,18,"5 ans, 6 mois et 18 jours",Devient roi à 5 ans à la mort de Louis XIV,pouvoir,couronnement,5,Louis_XV
Louis XV,1710-02-15,1774-05-10,FR,histoire-france,xviie-xviiie,politique,1723-02-15,4748,12,11,30,"12 ans, 11 mois et 30 jours",Déclaré majeur à 13 ans — commence à régner,pouvoir,majorite,4,Louis_XV
Louis XV,1710-02-15,1774-05-10,FR,histoire-france,xviie-xviiie,politique,1745-05-11,12872,35,2,28,"35 ans, 2 mois et 28 jours",Victoire de Fontenoy — dernière grande victoire française,guerre,bataille,4,Louis_XV
Louis XV,1710-02-15,1774-05-10,FR,histoire-france,xviie-xviiie,politique,1756-05-01,16880,46,2,18,"46 ans, 2 mois et 18 jours",Signe le traité de Versailles avec l'Autriche — renversement des alliances,pouvoir,traite,4,Louis_XV
Louis XV,1710-02-15,1774-05-10,FR,histoire-france,xviie-xviiie,politique,1774-05-10,23463,64,2,26,"64 ans, 2 mois et 26 jours",Meurt de la variole à Versailles à 64 ans,pouvoir,mort,4,Louis_XV
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1730-11-06,6862,18,9,14,"18 ans, 9 mois et 14 jours",Emprisonné par son père pour tentative de fuite — son ami exécuté,pouvoir,emprisonnement,5,Frédéric_II_(roi_de_Prusse)
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1740-05-31,10356,28,4,7,"28 ans, 4 mois et 7 jours",Monte sur le trône de Prusse à 28 ans,pouvoir,couronnement,5,Frédéric_II_(roi_de_Prusse)
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1740-12-16,10555,28,10,23,"28 ans, 10 mois et 23 jours",Envahit la Silésie — début de la guerre de Succession d'Autriche,guerre,invasion,5,Frédéric_II_(roi_de_Prusse)
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1757-12-05,16753,45,10,12,"45 ans, 10 mois et 12 jours",Victoire de Leuthen — chef-d'oeuvre tactique militaire,guerre,bataille,5,Frédéric_II_(roi_de_Prusse)
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1762-05-05,18365,50,3,11,"50 ans, 3 mois et 11 jours",Sauvé par la mort de la tsarine Elisabeth — miracle de la maison de Brandebourg,pouvoir,miracle,4,Frédéric_II_(roi_de_Prusse)
Frédéric II de Prusse,1712-01-24,1786-08-17,DE,histoire-europe,xviie-xviiie,"politique,guerre-militaire",1786-08-17,27235,74,6,24,"74 ans, 6 mois et 24 jours",Meurt à Potsdam à 74 ans — Frédéric le Grand,pouvoir,mort,5,Frédéric_II_(roi_de_Prusse)
Catherine de Médicis,1519-04-13,1589-01-05,IT,histoire-france,renaissance,politique,1533-10-28,5312,14,6,16,"14 ans, 6 mois et 16 jours",Épouse Henri de Valois — future Henri II — à 14 ans,pouvoir,mariage,4,Catherine_de_Médicis
Catherine de Médicis,1519-04-13,1589-01-05,IT,histoire-france,renaissance,politique,1559-07-10,14698,40,2,27,"40 ans, 2 mois et 27 jours",Devient régente à la mort d'Henri II — gouverne pour ses fils,pouvoir,regence,5,Catherine_de_Médicis
Catherine de Médicis,1519-04-13,1589-01-05,IT,histoire-france,renaissance,politique,1562-01-01,15602,42,8,18,"42 ans, 8 mois et 18 jours",Tente de réconcilier catholiques et protestants — Édit de Janvier,pouvoir,loi,4,Catherine_de_Médicis
Catherine de Médicis,1519-04-13,1589-01-05,IT,histoire-france,renaissance,politique,1572-08-24,19492,53,4,12,"53 ans, 4 mois et 12 jours",Nuit de la Saint-Barthélemy — massacre des protestants,pouvoir,massacre,5,Catherine_de_Médicis
Catherine de Médicis,1519-04-13,1589-01-05,IT,histoire-france,renaissance,politique,1589-01-05,25468,69,8,22,"69 ans, 8 mois et 22 jours",Meurt à Blois à 69 ans — mère de trois rois de France,pouvoir,mort,4,Catherine_de_Médicis
Henri IV,1553-12-13,1610-05-14,FR,histoire-france,renaissance,politique,1572-08-18,6823,18,8,5,"18 ans, 8 mois et 5 jours",Épouse Marguerite de Valois — 6 jours avant la Saint-Barthélemy,pouvoir,mariage,4,Henri_IV_(roi_de_France)
Henri IV,1553-12-13,1610-05-14,FR,histoire-france,renaissance,politique,1589-08-02,13016,35,7,19,"35 ans, 7 mois et 19 jours",Devient roi de France à la mort d'Henri III,pouvoir,couronnement,5,Henri_IV_(roi_de_France)
Henri IV,1553-12-13,1610-05-14,FR,histoire-france,renaissance,politique,1593-07-25,14469,39,7,11,"39 ans, 7 mois et 11 jours",Abjure le protestantisme — Paris vaut bien une messe,pouvoir,conversion,5,Henri_IV_(roi_de_France)
Henri IV,1553-12-13,1610-05-14,FR,histoire-france,renaissance,politique,1598-04-13,16192,44,3,29,"44 ans, 3 mois et 29 jours",Promulgue l'Édit de Nantes — liberté de culte aux protestants,pouvoir,loi,5,Henri_IV_(roi_de_France)
Henri IV,1553-12-13,1610-05-14,FR,histoire-france,renaissance,politique,1610-05-14,20606,56,4,30,"56 ans, 4 mois et 30 jours",Assassiné dans sa carrosse à Paris par Ravaillac,pouvoir,mort,5,Henri_IV_(roi_de_France)
Marie Stuart,1542-12-08,1587-02-08,GB,histoire-europe,renaissance,politique,1542-12-14,6,,,6,"0 ans, 0 mois et 6 jours",Devient reine d'Écosse à 6 jours — à la mort de son père,pouvoir,couronnement,5,Marie_Ire_(reine_d'Écosse)
Marie Stuart,1542-12-08,1587-02-08,GB,histoire-europe,renaissance,politique,1559-04-24,5981,16,4,15,"16 ans, 4 mois et 15 jours",Épouse le Dauphin François — devient aussi reine de France,pouvoir,mariage,4,Marie_Ire_(reine_d'Écosse)
Marie Stuart,1542-12-08,1587-02-08,GB,histoire-europe,renaissance,politique,1561-08-19,6829,18,8,11,"18 ans, 8 mois et 11 jours",Revient en Écosse après la mort de son mari,pouvoir,retour,4,Marie_Ire_(reine_d'Écosse)
Marie Stuart,1542-12-08,1587-02-08,GB,histoire-europe,renaissance,politique,1568-05-16,9291,25,5,7,"25 ans, 5 mois et 7 jours",Fuit en Angleterre — emprisonnée par Élisabeth Ire,pouvoir,emprisonnement,5,Marie_Ire_(reine_d'Écosse)
Marie Stuart,1542-12-08,1587-02-08,GB,histoire-europe,renaissance,politique,1587-02-08,16130,44,1,28,"44 ans, 1 mois et 28 jours",Décapitée à Fotheringhay Castle à 44 ans,pouvoir,mort,5,Marie_Ire_(reine_d'Écosse)
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1880-01-01,9772,26,9,2,"26 ans, 9 mois et 2 jours",Décide de devenir peintre à 27 ans — autodidacte,arts,debut,4,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1886-02-28,12020,32,10,27,"32 ans, 10 mois et 27 jours",S'installe à Paris — découvre l'impressionnisme et Gauguin,arts,installation,4,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1888-02-20,12743,34,10,20,"34 ans, 10 mois et 20 jours",S'installe à Arles — période la plus créative de sa vie,arts,installation,5,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1888-12-23,13052,35,8,25,"35 ans, 8 mois et 25 jours",Se coupe l'oreille après une dispute avec Gauguin,arts,incident,5,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1889-05-08,13188,36,1,8,"36 ans, 1 mois et 8 jours",Entre à l'asile de Saint-Rémy — peint La Nuit étoilée,arts,oeuvre,5,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1890-07-27,13633,37,3,27,"37 ans, 3 mois et 27 jours",Se tire une balle dans la poitrine — meurt 2 jours plus tard à 37 ans,arts,mort,5,Vincent_van_Gogh
Paul Gauguin,1848-06-07,1903-05-08,FR,histoire-france,xixe,arts-peinture,1883-01-01,12624,34,6,23,"34 ans, 6 mois et 23 jours",Abandonne son métier d'agent de change pour la peinture à 35 ans,arts,decision,5,Paul_Gauguin
Paul Gauguin,1848-06-07,1903-05-08,FR,histoire-france,xixe,arts-peinture,1888-10-23,14748,40,4,16,"40 ans, 4 mois et 16 jours",Rejoint Van Gogh à Arles — cohabitation explosive,arts,rencontre,4,Paul_Gauguin
Paul Gauguin,1848-06-07,1903-05-08,FR,histoire-france,xixe,arts-peinture,1891-06-04,15702,42,11,27,"42 ans, 11 mois et 27 jours",Part pour Tahiti — quitte l'Europe pour toujours,arts,depart,5,Paul_Gauguin
