person_name,person_birthdate,person_deathdate,person_country,person_geo,person_period,person_tags,event_date,person_age_days,age_years,age_months,age_days_rem,age_label,description_fr,category,subcategory,importance,wikipedia_slug
Edwin Hubble,1889-11-20,1953-09-28,US,histoire-usa,xxe,science-medecine,1909-06-01,7133,19,6,11,"19 ans, 6 mois et 11 jours",Obtient son diplome de droit a Oxford — change de voie pour l'astronomie,science,formation,3,Edwin_Hubble
Edwin Hubble,1889-11-20,1953-09-28,US,histoire-usa,xxe,science-medecine,1917-08-19,10134,27,8,29,"27 ans, 8 mois et 29 jours",Soutient sa these sur les nebuleuses extragalactiques,science,publication,4,Edwin_Hubble
Edwin Hubble,1889-11-20,1953-09-28,US,histoire-usa,xxe,science-medecine,1923-10-05,12372,33,10,14,"33 ans, 10 mois et 14 jours",Prouve que la nebuleuse d'Andromede est une galaxie distincte — revolution,science,decouverte,5,Edwin_Hubble
Edwin Hubble,1889-11-20,1953-09-28,US,histoire-usa,xxe,science-medecine,1929-01-17,14301,39,1,26,"39 ans, 1 mois et 26 jours",Publie la loi de Hubble — l'univers est en expansion,science,publication,5,Edwin_Hubble
Edwin Hubble,1889-11-20,1953-09-28,US,histoire-usa,xxe,science-medecine,1953-09-28,23323,63,10,8,"63 ans, 10 mois et 8 jours",Meurt a San Marino Californie — le telescope spatial portera son nom,science,mort,5,Edwin_Hubble
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1911-09-01,9460,25,10,24,"25 ans, 10 mois et 24 jours",Arrive a Cambridge pour travailler avec J.J. Thomson a 26 ans,science,formation,3,Niels_Bohr
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1913-07-01,10129,27,8,24,"27 ans, 8 mois et 24 jours",Publie son modele de l'atome — revolution de la physique,science,publication,5,Niels_Bohr
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1922-12-10,13578,37,2,3,"37 ans, 2 mois et 3 jours",Recoit le Prix Nobel de Physique,science,prix,5,Niels_Bohr
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1943-10-06,21183,57,11,29,"57 ans, 11 mois et 29 jours",Fuit le Danemark nazifie — rejoint le projet Manhattan,science,exil,4,Niels_Bohr
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1955-06-17,25455,69,8,9,"69 ans, 8 mois et 9 jours",Organise la 1ere conference Atoms for Peace a Geneve,science,conference,4,Niels_Bohr
Niels Bohr,1885-10-07,1962-11-18,DK,histoire-europe,xxe,science-medecine,1962-11-18,28166,77,1,11,"77 ans, 1 mois et 11 jours",Meurt a Copenhague a 77 ans,science,mort,4,Niels_Bohr
Werner Heisenberg,1901-12-05,1976-02-01,DE,histoire-europe,xxe,science-medecine,1920-10-01,6875,18,9,27,"18 ans, 9 mois et 27 jours",Entre a l'universite de Munich — eleve de Sommerfeld a 19 ans,science,formation,3,Werner_Heisenberg
Werner Heisenberg,1901-12-05,1976-02-01,DE,histoire-europe,xxe,science-medecine,1925-07-25,8633,23,7,19,"23 ans, 7 mois et 19 jours",Publie la mecanique matricielle — naissance de la mecanique quantique a 23 ans,science,publication,5,Werner_Heisenberg
Werner Heisenberg,1901-12-05,1976-02-01,DE,histoire-europe,xxe,science-medecine,1927-03-01,9217,25,2,25,"25 ans, 2 mois et 25 jours",Enonce le principe d'incertitude — revolution philosophique,science,publication,5,Werner_Heisenberg
Werner Heisenberg,1901-12-05,1976-02-01,DE,histoire-europe,xxe,science-medecine,1932-12-10,11328,31,,6,"31 ans, 0 mois et 6 jours",Recoit le Prix Nobel de Physique a 31 ans,science,prix,5,Werner_Heisenberg
Werner Heisenberg,1901-12-05,1976-02-01,DE,histoire-europe,xxe,science-medecine,1976-02-01,27084,74,1,25,"74 ans, 1 mois et 25 jours",Meurt a Munich a 74 ans,science,mort,3,Werner_Heisenberg
Gregor Mendel,1822-07-20,1884-01-06,CZ,histoire-europe,xixe,science-medecine,1843-10-01,7743,21,2,12,"21 ans, 2 mois et 12 jours",Entre au monastere augustinien de Brno a 21 ans,science,formation,3,Gregor_Mendel
Gregor Mendel,1822-07-20,1884-01-06,CZ,histoire-europe,xixe,science-medecine,1856-04-01,12309,33,8,12,"33 ans, 8 mois et 12 jours",Commence ses experiences sur les pois dans le jardin du monastere,science,experience,4,Gregor_Mendel
Gregor Mendel,1822-07-20,1884-01-06,CZ,histoire-europe,xixe,science-medecine,1866-02-08,15906,43,6,18,"43 ans, 6 mois et 18 jours",Publie ses lois de l'heredite — ignorees pendant 34 ans,science,publication,5,Gregor_Mendel
Gregor Mendel,1822-07-20,1884-01-06,CZ,histoire-europe,xixe,science-medecine,1884-01-06,22449,61,5,16,"61 ans, 5 mois et 16 jours",Meurt a Brno a 61 ans — sa revolution genetique ignoree de son vivant,science,mort,5,Gregor_Mendel
Dmitri Mendeleiev,1834-02-08,1907-02-02,RU,histoire-europe,xixe,science-medecine,1859-09-01,9339,25,6,25,"25 ans, 6 mois et 25 jours",Part etudier a Heidelberg — rencontre Bunsen et Kirchhoff,science,formation,3,Dmitri_Mendeleïev
Dmitri Mendeleiev,1834-02-08,1907-02-02,RU,histoire-europe,xixe,science-medecine,1869-03-06,12813,35,,30,"35 ans, 0 mois et 30 jours",Presente son tableau periodique a la Societe chimique de Saint-Petersbourg,science,decouverte,5,Dmitri_Mendeleïev
Dmitri Mendeleiev,1834-02-08,1907-02-02,RU,histoire-europe,xixe,science-medecine,1871-11-01,13783,37,8,25,"37 ans, 8 mois et 25 jours",Publie la version complete du tableau periodique — predit des elements inconnus,science,publication,5,Dmitri_Mendeleïev
Dmitri Mendeleiev,1834-02-08,1907-02-02,RU,histoire-europe,xixe,science-medecine,1890-04-01,20509,56,1,24,"56 ans, 1 mois et 24 jours",Demissionne de son poste pour soutenir les etudiants en greve,science,engagement,3,Dmitri_Mendeleïev
Dmitri Mendeleiev,1834-02-08,1907-02-02,RU,histoire-europe,xixe,science-medecine,1907-02-02,26657,72,11,24,"72 ans, 11 mois et 24 jours",Meurt a Saint-Petersbourg a 72 ans — le mendelevium porte son nom,science,mort,4,Dmitri_Mendeleïev
Archimede,-0287-01-01,-0212-01-01,GR,histoire-europe,antiquite,science-medecine,-0265-01-01,8035,21,11,30,"21 ans, 11 mois et 30 jours",Decouvre le principe d'Archimede dans son bain — Eureka,science,decouverte,5,Archimède
Archimede,-0287-01-01,-0212-01-01,GR,histoire-europe,antiquite,science-medecine,-0250-01-01,13514,36,11,30,"36 ans, 11 mois et 30 jours",Invente la vis d'Archimede pour pomper l'eau du Nil,science,invention,5,Archimède
Archimede,-0287-01-01,-0212-01-01,GR,histoire-europe,antiquite,science-medecine,-0215-01-01,26298,72,,,"72 ans, 0 mois et 0 jour",Defend Syracuse avec ses machines de guerre contre les Romains,guerre,defense,5,Archimède
Archimede,-0287-01-01,-0212-01-01,GR,histoire-europe,antiquite,science-medecine,-0212-01-01,27394,75,,1,"75 ans, 0 mois et 1 jour",Tue par un soldat romain lors de la prise de Syracuse,science,mort,5,Archimède
Hypatia d'Alexandrie,0360-01-01,0415-03-01,EG,histoire-monde,antiquite,"science-medecine,philosophie",0385-01-01,9131,24,11,30,"24 ans, 11 mois et 30 jours",Devient la principale enseignante de philosophie a Alexandrie a 25 ans,science,enseignement,5,Hypatie
Hypatia d'Alexandrie,0360-01-01,0415-03-01,EG,histoire-monde,antiquite,"science-medecine,philosophie",0400-01-01,14610,40,,,"40 ans, 0 mois et 0 jour",Invente l'astrolabe perfectionne et l'areometre,science,invention,4,Hypatie
Hypatia d'Alexandrie,0360-01-01,0415-03-01,EG,histoire-monde,antiquite,"science-medecine,philosophie",0405-01-01,16436,44,11,30,"44 ans, 11 mois et 30 jours",Refuse de se convertir au christianisme malgre les pressions,philosophie,resistance,4,Hypatie
Hypatia d'Alexandrie,0360-01-01,0415-03-01,EG,histoire-monde,antiquite,"science-medecine,philosophie",0415-03-01,20149,55,2,,"55 ans, 2 mois et 0 jour",Lynchee par une foule chretienne a Alexandrie — martyre de la raison,science,mort,5,Hypatie
Emmy Noether,1882-03-23,1935-04-14,DE,histoire-europe,xxe,science-medecine,1907-12-13,9396,25,8,21,"25 ans, 8 mois et 21 jours",Obtient son doctorat en mathematiques a 25 ans — interdite d'enseigner,science,diplome,4,Emmy_Noether
Emmy Noether,1882-03-23,1935-04-14,DE,histoire-europe,xxe,science-medecine,1915-07-01,12153,33,3,8,"33 ans, 3 mois et 8 jours",Invitee a Gottingen par Hilbert et Klein — toujours interdite d'enseigner,science,invitation,4,Emmy_Noether
Emmy Noether,1882-03-23,1935-04-14,DE,histoire-europe,xxe,science-medecine,1918-07-23,13271,36,4,,"36 ans, 4 mois et 0 jour",Publie le theoreme de Noether — revolution de la physique theorique,science,publication,5,Emmy_Noether
