person_name,person_birthdate,person_deathdate,person_country,person_geo,person_period,person_tags,event_date,person_age_days,age_years,age_months,age_days_rem,age_label,description_fr,category,subcategory,importance,wikipedia_slug
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1761-01-27,1826,4,11,30,"4 ans, 11 mois et 30 jours",Compose son premier menuet a 5 ans — Leopold note la date avec emotion,arts,creation,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1768-01-01,4357,11,11,5,"11 ans, 11 mois et 5 jours",Compose son premier opera La finta semplice a 12 ans — commande imperiale,arts,creation,5,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1772-12-26,6179,16,11,,"16 ans, 11 mois et 0 jour",Cree Lucio Silla a Milan — opera en 3 actes a 16 ans,arts,creation,4,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1778-09-11,8264,22,7,15,"22 ans, 7 mois et 15 jours",Compose la Symphonie Paris n38 pour les Parisiens a 22 ans,arts,creation,4,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1782-07-16,9668,26,5,19,"26 ans, 5 mois et 19 jours",Epouse Constanze Weber contre la volonte de son pere,arts,mariage,3,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1787-05-28,11445,31,4,1,"31 ans, 4 mois et 1 jour",Son pere Leopold meurt — rupture et deuil profond a 31 ans,arts,deuil,4,Wolfgang_Amadeus_Mozart
Wolfgang Amadeus Mozart,1756-01-27,1791-12-05,AT,histoire-europe,xviie-xviiie,musique-opera,1788-06-26,11840,32,4,30,"32 ans, 4 mois et 30 jours",Compose ses 3 dernieres symphonies en 6 semaines — exploit absolu,arts,creation,5,Wolfgang_Amadeus_Mozart
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1778-03-26,2656,7,3,8,"7 ans, 3 mois et 8 jours",Premier concert public a Cologne a 7 ans,arts,concert,4,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1783-01-01,4396,12,,13,"12 ans, 0 mois et 13 jours",Publie ses trois sonates WoO 47 a 12 ans — premier chef-d'oeuvre,arts,creation,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1787-04-01,5949,16,3,13,"16 ans, 3 mois et 13 jours",Rencontre Mozart a Vienne a 16 ans — Mozart predit un grand avenir,arts,rencontre,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1792-11-10,7999,21,10,24,"21 ans, 10 mois et 24 jours",S'installe a Vienne pour etudier avec Haydn a 21 ans,arts,formation,4,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1795-03-29,8868,24,3,10,"24 ans, 3 mois et 10 jours",Premier concert public a Vienne — triomphe a 24 ans,arts,concert,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1800-04-02,10699,29,3,15,"29 ans, 3 mois et 15 jours",Cree sa 1ere Symphonie au Burgtheater de Vienne,arts,creation,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1804-05-18,12206,33,5,,"33 ans, 5 mois et 0 jour",Raye le nom de Napoleon de la Heroique — desillusion politique,arts,incident,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1808-12-22,13885,38,,6,"38 ans, 0 mois et 6 jours",Concert legendaire — 5e Symphonie et 6e Symphonie le meme soir,arts,concert,5,Ludwig_van_Beethoven
Ludwig van Beethoven,1770-12-17,1827-03-26,DE,histoire-europe,xixe,musique-opera,1824-05-07,19500,53,4,20,"53 ans, 4 mois et 20 jours","Cree la 9e Symphonie — sourd total, ne s'entend pas applaudir",arts,creation,5,Ludwig_van_Beethoven
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1962-02-01,6204,16,11,25,"16 ans, 11 mois et 25 jours",Enregistre ses premiers titres a Kingston a 17 ans,arts,enregistrement,4,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1964-01-01,6905,18,10,26,"18 ans, 10 mois et 26 jours",Les Wailers signent avec Studio One — debut professionnel a 19 ans,arts,enregistrement,4,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1973-04-13,10296,28,2,8,"28 ans, 2 mois et 8 jours",Tourne Catch a Fire — premier album distribue mondialement,arts,publication,5,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1976-12-03,11626,31,9,30,"31 ans, 9 mois et 30 jours",Tente d'assassinat avant le Smile Jamaica Concert — joue quand meme,arts,attentat,5,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1977-07-01,11836,32,4,26,"32 ans, 4 mois et 26 jours",Diagnostique d'un melanome — refuse l'amputation pour raisons religieuses,arts,sante,4,Bob_Marley
Bob Marley,1945-02-06,1981-05-11,JM,histoire-monde,contemporain,musique-opera,1980-09-23,13016,35,7,19,"35 ans, 7 mois et 19 jours",Dernier concert a Pittsburgh — s'effondre le lendemain en joggant,arts,concert,5,Bob_Marley
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1817-01-01,2496,6,10,,"6 ans, 10 mois et 0 jour",Compose sa premiere polonaise a 7 ans — Leopold note sa precocite,arts,creation,5,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1818-02-24,2914,7,11,23,"7 ans, 11 mois et 23 jours",Premier concert public a Varsovie a 8 ans devant l'aristocratie,arts,concert,5,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1825-06-01,5571,15,3,1,"15 ans, 3 mois et 1 jour",Publie ses premieres oeuvres a 15 ans — reconnaissance officielle,arts,publication,4,Frédéric_Chopin
Frédéric Chopin,1810-03-01,1849-10-17,PL,histoire-europe,xixe,musique-opera,1830-11-29,7578,20,8,29,"20 ans, 8 mois et 29 jours",Quitte Varsovie pour toujours a 20 ans — insurrection polonaise,arts,depart,5,Frédéric_Chopin
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1869-07-30,5966,16,4,,"16 ans, 4 mois et 0 jour",Commence a travailler comme vendeur d'art a La Haye a 16 ans,arts,debut,3,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1876-04-01,8403,23,,3,"23 ans, 0 mois et 3 jours",Devient instituteur en Angleterre — cherche sa voie a 23 ans,arts,formation,2,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1878-12-01,9377,25,8,2,"25 ans, 8 mois et 2 jours",Part comme missionnaire dans le Borinage belge a 25 ans,spirituel,mission,3,Vincent_van_Gogh
Vincent van Gogh,1853-03-30,1890-07-29,NL,histoire-europe,xixe,arts-peinture,1885-04-01,11690,32,,2,"32 ans, 0 mois et 2 jours",Peint Les Mangeurs de pommes de terre — premier grand tableau,arts,oeuvre,5,Vincent_van_Gogh
Charles Darwin,1809-02-12,1882-04-19,GB,histoire-europe,xixe,science-medecine,1825-10-01,6078,16,7,20,"16 ans, 7 mois et 20 jours",Entre a l'universite d'Edimbourg pour etudier la medecine a 16 ans,science,formation,3,Charles_Darwin
Charles Darwin,1809-02-12,1882-04-19,GB,histoire-europe,xixe,science-medecine,1827-10-15,6822,18,8,4,"18 ans, 8 mois et 4 jours",Entre a Cambridge pour etudier la theologie a 18 ans,science,formation,3,Charles_Darwin
Charles Darwin,1809-02-12,1882-04-19,GB,histoire-europe,xixe,science-medecine,1836-10-02,10097,27,7,22,"27 ans, 7 mois et 22 jours",Retour du Beagle a Falmouth — 5 ans de voyage transformateurs a 27 ans,science,retour,5,Charles_Darwin
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1779-01-01,3424,9,4,15,"9 ans, 4 mois et 15 jours",Entre a l'ecole militaire de Brienne a 9 ans — seul Corse parmi les Francais,guerre,formation,4,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1785-09-01,5861,16,,17,"16 ans, 0 mois et 17 jours",Sort de l'Ecole militaire de Paris — sous-lieutenant a 16 ans,guerre,diplome,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1789-07-14,7273,19,10,29,"19 ans, 10 mois et 29 jours",Temoin de la prise de la Bastille a Paris a 19 ans,pouvoir,temoin,4,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1803-05-03,12314,33,8,17,"33 ans, 8 mois et 17 jours",Vend la Louisiane aux Etats-Unis — finance ses guerres,pouvoir,diplomatie,4,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1809-07-05,14569,39,10,20,"39 ans, 10 mois et 20 jours",Victoire de Wagram — sa derniere grande victoire absolue,guerre,bataille,4,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1814-04-06,16305,44,7,20,"44 ans, 7 mois et 20 jours",Abdique a Fontainebleau — premier exil a l'Ile d'Elbe,pouvoir,abdication,5,Napoléon_Ier
Napoléon Bonaparte,1769-08-15,1821-05-05,FR,histoire-france,xixe,"politique,guerre-militaire",1815-03-20,16653,45,7,3,"45 ans, 7 mois et 3 jours",Retour des Cent-Jours — entre a Paris sans un coup de feu,pouvoir,retour,5,Napoléon_Ier
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1917-01-01,3863,10,6,28,"10 ans, 6 mois et 28 jours",Commence a danser dans les rues de Saint-Louis a 11 ans pour survivre,arts,debut,4,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1925-10-02,7061,19,4,,"19 ans, 4 mois et 0 jour",Triomphe a Paris dans La Revue negre a 19 ans — sensation mondiale,arts,debut,5,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1926-05-25,7296,19,11,22,"19 ans, 11 mois et 22 jours",La Danse banane au Folies Bergere — icone mondiale a 19 ans,arts,concert,5,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1937-11-30,11503,31,5,28,"31 ans, 5 mois et 28 jours",Obtient la nationalite francaise — choisit la France,arts,nationalite,4,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1940-10-01,12539,34,3,29,"34 ans, 3 mois et 29 jours",S'engage dans la Resistance francaise — espionne pour de Gaulle,guerre,resistance,5,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1961-08-28,20175,55,2,26,"55 ans, 2 mois et 26 jours",Parle a la Marche sur Washington aux cotes de Martin Luther King,pouvoir,discours,5,Joséphine_Baker
Josephine Baker,1906-06-03,1975-04-12,US,histoire-france,xxe,"cinema-theatre,musique-opera",1975-04-12,25150,68,10,8,"68 ans, 10 mois et 8 jours",Meurt a Paris a 68 ans — 4 jours apres son triomphe aux Folies,arts,mort,5,Joséphine_Baker
Nina Simone,1933-02-21,2003-04-21,US,histoire-usa,contemporain,musique-opera,1940-01-01,2507,6,10,11,"6 ans, 10 mois et 11 jours",Donne ses premiers recitals de piano a l'eglise a 6 ans,arts,debut,3,Nina_Simone
Nina Simone,1933-02-21,2003-04-21,US,histoire-usa,contemporain,musique-opera,1950-09-01,6404,17,6,12,"17 ans, 6 mois et 12 jours",Candidate au Curtis Institute of Philadelphia — refusee pour raisons raciales,arts,refus,5,Nina_Simone
Nina Simone,1933-02-21,2003-04-21,US,histoire-usa,contemporain,musique-opera,1958-10-01,9356,25,7,11,"25 ans, 7 mois et 11 jours",Enregistre I Loves You Porgy — succes immediat a 25 ans,arts,enregistrement,5,Nina_Simone
Nina Simone,1933-02-21,2003-04-21,US,histoire-usa,contemporain,musique-opera,1964-08-01,11487,31,5,12,"31 ans, 5 mois et 12 jours",Compose Mississippi Goddam — apres l'assassinat de Medgar Evers,arts,engagement,5,Nina_Simone
